dom_tld,classification,date,note
google.com,google,2023-07-24,
google.fr,google,2023-07-24,
etsy.com,other,2023-07-24,
dan.com,business,2023-05-01,
issuu.com,business,2023-05-01,
milano.it,gov,2023-09-15,governamental - lot of same sitemaps with different names
booking.com,ota,2023-09-18,Filtered by Niels
readytotrip.com,ota,2023-09-18,Filtered by Niels
destinia.com,ota,2023-09-18,Filtered by Niels
tripening.com,ota,2023-09-18,Filtered by Niels
routeyou.com,other,2023-09-18,Filtered by Niels
benitalia.com,ota,2023-09-18,Filtered by Niels
hikersbay.com,ota,2023-09-18,Filtered by Niels
yandex.ru,other,2023-09-18,Filtered by Niels
travala.com,metasearch,2023-09-18,Filtered by Niels
travelagewest.com,other,2023-09-18,Filtered by Niels
easemytrip.com,ota,2023-09-18,Filtered by Niels
france-voyage.com,ota,2023-09-18,Filtered by Niels
zoover.nl,ota,2023-09-18,Filtered by Niels
ostrovok.ru,ota,2023-09-18,Filtered by Niels
oyster.com,ota,2023-09-18,Filtered by Niels
telegraph.co.uk,news,2023-09-18,Filtered by Niels
minube.com,ota,2023-09-18,Filtered by Niels
tui.com,ota,2023-09-18,Filtered by Niels
192.com,other,2023-09-18,Filtered by Niels
dasoertliche.de,local,2023-09-18,Filtered by Niels
lefigaro.fr,news,2023-09-18,Filtered by Niels
getaroom.com,ota,2023-09-18,Filtered by Niels
pinterest.com,social,2023-09-18,Filtered by Niels
travelrepublic.ie,ota,2023-09-18,Filtered by Niels
yumpu.com,news_n,2023-09-18,Filtered by Niels
myswitzerland.com,news,2023-09-18,Filtered by Niels
timeout.com,ota,2023-09-18,Filtered by Niels
mapquest.com,local_maps,2023-09-18,Filtered by Niels
standard.co.uk,news,2023-09-18,Filtered by Niels
wer-zu-wem.de,business_data,2023-09-18,Filtered by Niels
hotels-milan.info,ota,2023-09-18,Filtered by Niels
scribd.com,other,2023-09-18,Filtered by Niels
hotels-in-vienna.net,ota,2023-09-18,Filtered by Niels
tui.ch,ota,2023-09-18,Filtered by Niels
vienna-besthotels.com,ota,2023-09-18,Filtered by Niels
allsalzburghotels.com,ota,2023-09-18,Filtered by Niels
2pos.pl,other,2023-09-18,Filtered by Niels
archive.org,other,2023-09-18,Filtered by Niels
